game_name,percent_positive_reviews,genre,Action,Adventure,Casual,Design_and_Illustration,Early_Access,Free_to_Play,Indie,Massively_Multiplayer,RPG,Racing,Simulation,Sports,Strategy,Utilities
HEROES OF MIGHT & MAGIC V,87.0,Strategy,0,0,0,0,0,0,0,0,0,0,0,0,1,0
BROTHERS IN ARMS: ROAD TO HILL 30™,86.0,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SILENT HUNTER®: WOLVES OF THE PACIFIC,65.0,Simulation,0,0,0,0,0,0,0,0,0,0,1,0,0,0
SILENT HUNTER® III,86.0,Simulation,0,0,0,0,0,0,0,0,0,0,1,0,0,0
COLD FEAR™,87.0,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TOM CLANCY'S GHOST RECON®,92.0,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
IL-2 STURMOVIK: 1946,87.0,Simulation,0,0,0,0,0,0,0,0,0,0,1,0,0,0
HEROES OF MIGHT & MAGIC V: TRIBES OF THE EAST,92.0,Strategy,0,0,0,0,0,0,0,0,0,0,0,0,1,0
BROTHERS IN ARMS: HELL'S HIGHWAY™,89.0,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
THE WONDERFUL END OF THE WORLD,75.0,"Indie,Casual",0,0,1,0,0,0,1,0,0,0,0,0,0,0
AAAAAA!!! - A RECKLESS DISREGARD FOR GRAVITY,84.0,"Action,Indie,Sports",1,0,0,0,0,0,1,0,0,0,0,1,0,0
AAAAAAAAAAAAAAAAAAAAAAAAA!!! FOR THE AWESOME,75.0,"Action,Indie,Sports",1,0,0,0,0,0,1,0,0,0,0,1,0,0
"WARHAMMER 40,000: DAWN OF WAR II",88.0,Strategy,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ODDWORLD: ABE'S ODDYSEE®,86.0,Adventure,0,1,0,0,0,0,0,0,0,0,0,0,0,0
